evaluation,join,shacl_schema_validation,summarization,overall_constraint_evaluation,io,io_histogram,io_piechart,viz_hist,viz_pie,viz_grouped_hist,node_samples,picture_composition,overall
0.0,0.0045680999755859375,0.002885103225708008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009800195693969727
0.0,0.0044786930084228516,0.0029938220977783203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00988316535949707
0.0,0.00453495979309082,0.002983570098876953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009827852249145508
0.0,0.004511356353759766,0.0029082298278808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009682416915893555
0.0,0.0044591426849365234,0.0030820369720458984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010242223739624023
0.0,0.005588054656982422,0.002980470657348633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010334968566894531
0.0,0.005411386489868164,0.0033397674560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010991096496582031
0.0,0.005624532699584961,0.003147125244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01063227653503418
0.0,0.005623817443847656,0.0029485225677490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010524749755859375
0.0,0.005672931671142578,0.0031042098999023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010555028915405273
0.0,0.005594491958618164,0.0029850006103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01071619987487793
0.0,0.005502223968505859,0.0029451847076416016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010270357131958008
0.0,0.005406856536865234,0.0029387474060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010182857513427734
0.0,0.005367755889892578,0.0029561519622802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010185956954956055
0.0,0.005335092544555664,0.0029532909393310547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010173320770263672
0.0,0.426577091217041,0.4941983222961426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9633729457855225
0.0,0.4492950439453125,0.4719834327697754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800965785980225
0.0,0.448350191116333,0.471721887588501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786181449890137
0.0,0.45092225074768066,0.47211337089538574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817652702331543
0.0,0.4499025344848633,0.47177982330322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803926944732666
0.0,1.635331392288208,0.4728658199310303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1540369987487793
0.0,1.6246776580810547,0.47218775749206543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1425962448120117
0.0,1.6400132179260254,0.473743200302124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1598336696624756
0.0,1.6371550559997559,0.47441935539245605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.157921075820923
0.0,1.628556728363037,0.47188568115234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1463205814361572
0.0,1.616790771484375,0.4723081588745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1284162998199463
0.0,1.6133415699005127,0.4727969169616699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125417947769165
0.0,1.6177091598510742,0.47406721115112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1311378479003906
0.0,1.6160407066345215,0.4736614227294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1290688514709473
0.0,1.613257646560669,0.47405362129211426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1266238689422607
0.0,0.8502197265625,0.8350145816802979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7711989879608154
0.0,0.8607029914855957,0.7812905311584473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7562017440795898
0.0,0.8592185974121094,0.7813639640808105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7546370029449463
0.0,0.8559439182281494,0.7823390960693359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7524638175964355
0.0,0.8654100894927979,0.7851448059082031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7652499675750732
0.0,3.0091521739959717,0.7814834117889404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.881178855895996
0.0,3.0483925342559814,0.7868361473083496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9260425567626953
0.0,3.0237233638763428,0.7854607105255127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8998892307281494
0.0,3.02140474319458,0.7829172611236572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.894840955734253
0.0,3.0328824520111084,0.7850019931793213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.908700704574585
0.0,3.0078279972076416,0.7841296195983887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8881337642669678
0.0,2.9993605613708496,0.7820632457733154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.877631425857544
0.0,3.022249460220337,0.7846977710723877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9035398960113525
0.0,3.00382924079895,0.7825944423675537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.882486581802368
0.0,3.0026774406433105,0.7818746566772461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8807437419891357
0.0,1.4408836364746094,1.214350938796997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7766246795654297
0.0,1.4579970836639404,1.2806775569915771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90030574798584
0.0,1.4521992206573486,1.277665376663208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.891502857208252
0.0,1.4523286819458008,1.2784061431884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8928120136260986
0.0,1.4528651237487793,1.2736985683441162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888589382171631
0.0,5.043597459793091,1.2744145393371582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451149225234985
0.0,5.05690860748291,1.2762119770050049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.466757535934448
0.0,5.022799253463745,1.2720143795013428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.427812099456787
0.0,5.041528940200806,1.2760145664215088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.450746059417725
0.0,5.004497051239014,1.272632360458374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41036319732666
0.0,5.114387512207031,1.2754244804382324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.523005485534668
0.0,5.094879865646362,1.2734265327453613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.501545190811157
0.0,5.114742279052734,1.2753539085388184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.523529291152954
0.0,5.077895402908325,1.274888277053833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4860312938690186
0.0,5.1182332038879395,1.2779796123504639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.529888391494751
0.0,2.006648063659668,1.622715711593628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7991671562194824
0.0,1.8704261779785156,1.493788480758667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.572155475616455
0.0,1.8700473308563232,1.4924402236938477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.569938898086548
0.0,1.8711559772491455,1.4900016784667969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.569352149963379
0.0,1.8716108798980713,1.489990472793579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5689449310302734
0.0,6.399552822113037,1.4924910068511963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067861557006836
